Activity Name,Description,Why It Matters,How To Do It,Developmental Area,Duration (min),Materials Required,Age Band,Source
Long Division I,"A practical challenge that builds reasoning, planning and problem-solving.","This develops the planning and reasoning that increasingly demanding schoolwork will require. Expect them to want to do it their own way, and let them where you can.","256 ÷ 8 = 32. Place-value understanding applied to division. Estimate first, then calculate, then check.",Cognitive,5–10 min,Pencil and paper,5y9m–6y,NCERT Foundational Literacy and Numeracy; Harvard Center on the Developing Child; IAP
Algebra Introduction,A practical challenge that builds number and early mathematical thinking.,This develops the planning and reasoning that increasingly demanding schoolwork will require. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.,4 + x = 9. What is x? Unknown number in a known relationship. Algebra as a 'find the missing piece' problem.,Cognitive,5–10 min,Pencil and paper,5y9m–6y,NCERT Foundational Literacy and Numeracy; Harvard Center on the Developing Child; IAP
Geometry Area Perimeter,A skill-building activity focused on scientific reasoning.,"At this age children can genuinely think through a problem, and doing so builds the habit of persisting with hard things. Expect them to want to do it their own way, and let them where you can.",Both for the same shape. Why are they different? Distinguish the two concepts concretely before abstractly.,Cognitive,5–10 min,Ruler and simple shapes drawn on paper,5y9m–6y,NCERT Foundational Literacy and Numeracy; Harvard Center on the Developing Child; IAP
Human Geography,A skill-building activity focused on pattern and sequence reasoning.,"This develops the planning and reasoning that increasingly demanding schoolwork will require. Expect them to want to do it their own way, and let them where you can.",Why do most people live near rivers and coasts? Map evidence + reasoning about human patterns.,Cognitive,10–15 min,Simple world map,5y9m–6y,NCERT Foundational Literacy and Numeracy; Harvard Center on the Developing Child; IAP
vs Physical Change,An activity that develops classification and logical grouping.,"This develops the planning and reasoning that increasingly demanding schoolwork will require. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.",Burning = chemical. Cutting = physical. Test 5 household processes and classify. Observable evidence of change.,Cognitive,10–15 min,"Candle, apple, water, paper",5y9m–6y,NCERT Foundational Literacy and Numeracy; Harvard Center on the Developing Child; IAP
Hypothesis Test,A skill-building activity focused on scientific reasoning.,"Understanding at this stage grows from working things out rather than being told the answer. Expect them to want to do it their own way, and let them where you can.",Write a formal hypothesis: 'I think X will happen because Y.' Test it. Write results and conclusion. Science protocol.,Cognitive,15–20 min,Any testable household experiment,5y9m–6y,NCERT Foundational Literacy and Numeracy; Harvard Center on the Developing Child; IAP
Social Norms Pressures,A skill-building activity focused on friendship and social navigation.,Social and emotional skills at this age predict how school goes as much as academic ability does. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.,What do you do when your friends want you to do something you're uncomfortable with?' Social pressure navigation.,Social-Emotional,5–10 min,None,5y9m–6y,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Empathy Difference,An activity that develops empathy and perspective-taking.,"Social and emotional skills at this age predict how school goes as much as academic ability does. Expect them to want to do it their own way, and let them where you can.",Tell me about someone at school who is very different from you. What might their life be like?' Imaginative empathy.,Social-Emotional,5–10 min,None,5y9m–6y,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Own Mental Health,A skill-building activity focused on emotional regulation and self-awareness.,"Your child can now reflect on their own behaviour, which makes real emotional learning possible. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.",What are 3 things you do when you're feeling low? What works best?' Personal mental health toolkit building.,Social-Emotional,5–10 min,None,5y9m–6y,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Understand Consent,A skill-building activity focused on social understanding and self-regulation.,"This supports the friendships, fairness and self-control that become central once children are in a classroom. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.",What does it mean for something to be OK with everyone involved?' Age-appropriate consent framing for all contexts.,Social-Emotional,5–10 min,None,5y9m–6y,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Handle Exclusion Constructively,An activity that develops social understanding and self-regulation.,"This supports the friendships, fairness and self-control that become central once children are in a classroom. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.","When you were left out, what did you do? What else could you have done?' Exclusion is universal and manageable.",Social-Emotional,5–10 min,None,5y9m–6y,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Be Honest Friend,A skill-building activity focused on friendship and social navigation.,"Your child can now reflect on their own behaviour, which makes real emotional learning possible. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.",Would you tell your friend if they had spinach in their teeth? What about something bigger?' Kindness + honesty.,Social-Emotional,5–10 min,None,5y9m–6y,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
